DH01,US_DHS_011
DH02,US_DHS_012
DH03,US_DHS_013
DH04,US_DHS_014
DH05,US_DHS_015
RM04,US_RMT_002
RM07,US_RMT_003
RM09,US_RMT_004
RM10,US_RMT_005
KB03,US_IMN_003
KB04,US_IMN_004
KB10,US_IMN_005
KB14,US_IMN_006
KB31,US_IMN_007
NS01,US_NIV_001
NV03,US_NIV_002
NV04,US_NIV_003
NV05,US_NIV_004
NV06,US_NIV_005
NV07,US_NIV_006
TV01,US_TEV_001
TV02,US_TEV_002
TV03,US_TEV_003
TV04,US_TEV_004
TV05,US_TEV_005
TV06,US_TEV_006
TV07,US_TEV_007
TV08,US_TEV_008
TV09,US_TEV_009
TV10,US_TEV_010
TV11,US_TEV_011
TV12,US_TEV_012
TV13,US_TEV_013
APP-2009-012,US_A09_012
APP-2009-013,US_A09_013
APP-2009-014,US_A09_014
APP-2009-026,US_A09_026
APP-2009-028,US_A09_028
APP-2009-031,US_A09_031
APP-2009-032,US_A09_032
APP-2009-033,US_A09_033
APP-2009-036,US_A09_036
APP-2009-039,US_A09_039
APP-2009-069,US_A09_069
APP-2009-075,US_A09_075
APP-2009-093,US_A09_093
APP-2009-115,US_A09_115
APP-2009-115,US_A09_115
APP-2010-038,US_A10_038
APP-2010-112,US_A10_112
APP-2010-116,US_A10_116
APP-2010-135,US_A10_135
APP-2010-156,US_A10_156
APP-2010-164,US_A10_164
APP-2010-192,US_A10_192
APP-2011-005,US_A11_005
APP-2011-010,US_A11_010
APP-2011-016,US_A11_016
APP-2011-025,US_A11_025
AKR,US_AKR_001
BB1,US_SML_501
BZ1,US_BZC_102
BZ2,US_BZC_202
GK2,US_GKN_102
HP2,US_HRP_201
HL1,US_HLY_002
IM2,US_IMN_002
LG1,US_LGD_102
OM1,US_OLM_102
QZC,US_QZC_001
UUG,US_UUG_001
Y1B,US_UAF_101
Y1A,US_UAF_102
A19K,US_A19_001
A22K,US_A22_001
B18K,US_B18_001
B20K,US_B20_001
B21K,US_B21_001
B22K,US_B22_001
C16K,US_C16_001
C17K,US_C17_001
C18K,US_C18_001
C19K,US_C19_001
C21K,US_C21_001
D19K,US_D19_001
D20K,US_D20_001
D22K,US_D22_001
D23K,US_D23_001
E18K,US_E18_001
E20K,US_E20_001
F19K,US_F19_001
K13K,US_K13_001
L17K,US_L17_001
