Banks Island,BIS
Barrow 2,BR2
Bonanza Creek 1 - unburned,BZ1
Bonanza Creek 2 - burned,BZ2
Chandalar Shelf (off-line),CS1
Deadhorse,DH1
Fox,FX1
Franklin Bluffs Dry (off-line),FBD
Franklin Bluffs New,FBN
Franklin Bluffs Old (off-line),FB1
Franklin Bluffs Wet (off-line),FBW
Galbraith Lake (off-line),GL1
HAARP1,HP1
HAARP2,HP2
Happy Valley,HV1
Imnaviat,IM1
Isachsen,ISA
Ivotuk 4 Moss (retired),IV4
Kugurak Cabin,KC1
Kuzitrin River,KZR
Mould Bay,MOB
Pilgrim Hot Springs,PHS
Roche Mnt Met,RMM
Sag1 MNT (off-line),SG1
Sag2 MAT (off-line),SG2
Selawik Thaw Slump,STS
Selawik Village,SV1
Smith Lake 1,SL1
Smith Lake 2,SL2
Smith Lake 3,SL3
Smith Lake 4,SL4
UAF Farm,UF1
West Dock,WDN
West Dock Old (off-line),WD1
