SiteCodeOld,FileNumber,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BIS,1,,,,,,,0,0,0,0.1,0.11,0.11,0.12,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,
BIS,2,,,,,,,0,0,0,0,0.01,0.02,0.03,0.04,0.06,0.07,0.09,0.09,0.09,0.09,0.09,
BR2,,,,,,,0.4,0.6,0.9,0.1,0.1,0.1,0.1,0.1,0.11,0.13,0.12,0.11,0.1,0.11,0.11,0.11,0.11
BZ1,,,,,,,,,,,,,,0,0,0,-0.02,-0.02,-0.02,-0.02,-0.03,-0.04,0.04
BZ2,,,,,,,,,,,,,,0,0,0.01,0.01,0,0,0,0.02,0.04,
CS1,,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.23,0.25,0.26,0.29,0.29,0.23,0.22,0.26,0.26,0.24,0.33
DH1,,,,,,,,,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.29,0.32,0.35,0.33,,,,
DH2,,,,,,,,,,,,,,,0.05,0.09,0.15,0.18,0.17,0.17,0.22,0.26,0.25
FX1,,,,,,,,0.08,0.12,0.16,0.2,0.24,0.28,0.32,0.34,0.14,0.17,0.2,0.19,0.18,0.2,0.23,
FBD,1,,,,,,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.09,0.12,0.13,0.14,0.16,0.15,0.12,0.14,0.13
FBD,2,,,,,,0.1,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.11,0.13,0.14,0.15,0.16,0.15,0.15,0.2
FBN,,,,,,,,,,,,,,,,,,,,,0.12,0.14,0.17
FB1,,0.15,0.18,0.21,0.24,0.26,0.27,0.29,0.31,0.33,0.35,0.35,0.36,0.37,0.37,0.36,0.42,0.42,0.43,0.45,0.48,0.45,0.48
FBW,1,,,,,,0,0.03,0.06,0.09,0.12,0.15,,,,,,,,,,,
FBW,2,,,,,,0,0.04,0.08,0.12,0.16,0.2,0.24,0.25,0.26,0.01,0.12,0.15,0.18,0.25,0.32,0.34,0.32
GL1,,,,,,,,,,,,,,,0.04,0.04,0.11,0.13,0.14,0.18,0.2,0.23,0.24
HP1,,,,,,,,,0.04,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.13,0.14
HP2,,,,,,,,,,,,,,0,0,0,0.15,0.05,0.08,0.12,0,0,-0.01
HV1,1,,,,,0,0.03,0.06,0.09,0.12,0.15,0.18,0.2,0.21,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.24,0.21
HV1,2,,,,,,,,,,,,,-0.01,0.14,0.15,0.19,0.16,0.16,0.16,0.12,0.12,0.08
IM1,,,,,,,,,,,0.12,0.15,0.18,0.21,0.23,0.27,0.24,0.25,0.26,0.05,0.08,0.05,0.07
ISA,1,,,,,,,,,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.32,0.33,0.35,0.36,
ISA,2,,,,,,,,,0.07,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.31,0.32,0.33,0.34,
IV4,1,,,,,,,,,,,,,,0.43,0.51,0.45,-0.03,-0.01,0.02,0.09,,
IV4,2,,,,,,,,,,,,,,0.37,0.31,0.29,0.26,0.27,0.28,0.28,,
KC1,,,,,,,,,,,,,,,,,0,0.03,0.07,0,0.2,0.2,
KZR,,,,,,,,,,,,,,,,,0,0.06,0.13,0.25,0.26,0.35,0.37
MOB,1,,,,,,,,0,0.02,0.04,0.06,0.08,0.1,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.15,
MOB,2,,,,,,,,0,0.01,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.11,0.11,
PHS,,,,,,,,,,,,,,,,,0,0,0,0.11,0.15,0.36,0.29
RMM,,,,,,,,,,,,,,,,,,,,0,0.07,0.09,0.1
SG1,,,,,-0.03,,,,,,,,,0.02,0.04,0.1,0.13,0.12,0.15,0.15,0.14,0.17,0.15
SG2,,,,,0,,,,,,,,,,0.12,0.12,0.15,0,0,0,0,-0.02,-0.02
STS,,,,,,,,,,,,,,,,,-0.02,0,0,0.06,0.07,0.06,
SV1,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
SL1,,,,,,,,,,,,,,,0.01,0.02,0.01,0.02,0.01,0.02,0.06,0.1,
SL2,,,,,,,,,,,-0.01,0.08,0.09,0.13,0.16,0.17,0.19,0.22,0.21,0.25,0.2,0.26,0.28
SL3,,,,,,,,,,,,,,,,,,,,,-0.35,-0.35,
SL4,,,,,,,,,,,,,,,0.16,0.15,0.15,0.17,0.13,0.17,0.14,0.16,
UF1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
WDN,,,,,,,,,,,,,,0,0,0,0,0.06,0.05,0.06,0.06,0.05,0.07
WD1,,,0.19,0.18,,,,,,,,,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32
